House,pyo,SDSE,pyo_prop,SDSE_prop
HH_188,4,3,0.571428571,0.428571429
HH_342,12,4,0.75,0.25
HH_402,7,1,0.875,0.125
HH_406,3,1,0.75,0.25
HH_412,1,3,0.25,0.75
HH_416,3,1,0.75,0.25
HH_419,1,5,0.166666667,0.833333333
HH_421,17,19,0.472222222,0.527777778
HH_432,0,1,0,1
HH_433,8,3,0.727272727,0.272727273
HH_437,10,12,0.454545455,0.545454545
HH_471,7,1,0.875,0.125
HH_472,0,3,0,1
HH_486,6,2,0.75,0.25
HH_491,6,2,0.75,0.25
HH_495,3,1,0.75,0.25
HH_502,3,4,0.428571429,0.571428571
HH_529,5,3,0.625,0.375
HH_539,8,6,0.571428571,0.428571429